rel_s,cpu_pct,ram_used_mib
-5.0,0.7,330.2
-4.5,4.4,330.3
-4.0,1.8,330.3
-3.5,2.8,330.0
-3.0,0.4,330.0
-2.5,2.8,329.9
-2.0,13.6,329.9
-1.5,30.6,331.6
-1.0,15.4,331.6
-0.5,5.8,331.2
0.0,3.8,331.2
0.5,6.2,338.5
1.0,5.4,338.5
1.5,7.6,349.6
2.0,13.8,349.6
2.5,8.6,348.9
3.0,12.8,348.9
3.5,5.8,349.1
4.0,1.4,349.1
4.5,5.8,349.4
5.0,1.4,349.4
5.5,4.8,349.1
6.0,17.2,349.1
6.5,29.8,349.3
7.0,32.2,349.3
7.5,31.2,348.6
8.0,29.2,348.6
8.5,32.8,349.0
9.0,33.8,349.0
9.5,32.2,348.4
10.0,27.4,348.4
10.5,30.4,349.8
11.0,31.8,349.8
11.5,31.2,349.1
12.0,36.2,349.1
12.5,31.2,349.2
13.0,30.4,349.2
13.5,26.4,349.1
14.0,27.6,349.1
14.5,27.2,348.4
15.0,31.4,348.4
15.5,31.6,349.5
16.0,31.2,349.5
16.5,30.8,348.5
17.0,28.4,348.5
17.5,31.2,347.6
18.0,34.2,347.6
18.5,31.6,347.4
19.0,36.2,347.4
19.5,35.2,347.9
20.0,28.8,347.9
20.5,29.2,347.7
21.0,29.8,347.7
21.5,35.8,346.6
22.0,30.8,346.6
22.5,35.2,348.4
23.0,31.2,348.4
23.5,27.8,346.9
24.0,31.6,346.9
24.5,34.0,346.8
25.0,36.2,346.8
25.5,30.2,346.8
26.0,27.4,346.8
26.5,27.4,347.5
27.0,27.2,347.5
27.5,25.6,346.8
28.0,39.2,346.8
28.5,36.0,347.6
29.0,31.8,347.6
29.5,29.6,348.1
30.0,30.8,348.1
30.5,30.8,349.1
31.0,30.2,349.1
31.5,27.8,347.2
32.0,38.2,347.2
32.5,30.2,347.8
33.0,31.6,347.8
33.5,37.2,348.1
34.0,29.0,348.1
34.5,28.2,348.0
35.0,6.6,348.0
35.5,3.8,347.1
36.0,2.4,347.1
36.5,3.4,346.8
37.0,0.4,346.8
37.5,4.8,347.6
38.0,7.0,347.6
38.5,5.2,348.8
39.0,1.2,348.8
39.5,5.6,347.8
40.0,1.6,347.8
40.5,16.6,348.4
41.0,6.2,348.4
41.5,5.0,349.2
42.0,4.0,349.2
42.5,1.8,347.9
43.0,5.6,347.9
43.5,3.2,349.9
44.0,6.2,349.9
44.5,1.8,347.7
45.0,7.8,347.7
45.5,0.0,347.7
